,abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fighting,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,name,attack,defense,hp,capture_rate,sp_attack,sp_defense,speed,base_total,classification,type1,type2,height_m,weight_kg,percentage_male,generation,is_legendary
0,"['Overgrow', 'Chlorophyll']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,Bulbasaur,49,49,45,45,65,65,45,318,Seed Pokémon,grass,poison,0.7,6.9,88.1,1,0
1,"['Overgrow', 'Chlorophyll']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,Ivysaur,62,63,60,45,80,80,60,405,Seed Pokémon,grass,poison,1.0,13.0,88.1,1,0
2,"['Overgrow', 'Chlorophyll']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,Venusaur,100,123,80,45,122,120,80,625,Seed Pokémon,grass,poison,2.0,100.0,88.1,1,0
3,"['Blaze', 'Solar Power']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,Charmander,52,43,39,45,60,50,65,309,Lizard Pokémon,fire,none,0.6,8.5,88.1,1,0
4,"['Blaze', 'Solar Power']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,Charmeleon,64,58,58,45,80,65,80,405,Flame Pokémon,fire,none,1.1,19.0,88.1,1,0
5,"['Blaze', 'Solar Power']",0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,Charizard,104,78,78,45,159,115,100,634,Flame Pokémon,fire,flying,1.7,90.5,88.1,1,0
6,"['Torrent', 'Rain Dish']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,Squirtle,48,65,44,45,50,64,43,314,Tiny Turtle Pokémon,water,none,0.5,9.0,88.1,1,0
7,"['Torrent', 'Rain Dish']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,Wartortle,63,80,59,45,65,80,58,405,Turtle Pokémon,water,none,1.0,22.5,88.1,1,0
8,"['Torrent', 'Rain Dish']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,Blastoise,103,120,79,45,135,115,78,630,Shellfish Pokémon,water,none,1.6,85.5,88.1,1,0
9,"['Shield Dust', 'Run Away']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,Caterpie,30,35,45,255,20,20,45,195,Worm Pokémon,bug,none,0.3,2.9,50.0,1,0
